,sentence1,sentence2,label
198,梦见自己与别人打架,梦见我和别人打架,1
199,汪东城的老婆是谁汪,刘烨的老婆是谁,0
200,女人吃什么最好,女人吃什么豆最好,0
201,在家带小孩怎么赚钱,有什么工作适合在家带孩子做的,0
202,开女装店，起名,如何给科技公司起名？,0
203,微信上的好友删除了对方还有我的吗,微信我把一个好友删除以后的问题,0
204,婴儿手推车多少钱婴儿手推车什么牌子好啊?,婴儿手推车多少钱婴儿手推车什么牌子好啊?谢谢啦,1
205,外国诗人有哪些,都有哪些外国诗人写的诗好啊,0
206,《饥荒》玩不了,玩魔道在优酷出视频,0
207,我爷爷堂哥的儿子的女儿我应该叫什么,我表哥，堂哥的儿子或女儿叫我什么？,0
208,怎么开通流量加油包,怎么开通流量加油包。,1
209,带鱼上的白鳞可以吃吗？,带鱼的鳞能吃吗？,1
210,济南的美容整形医院哪家做光子嫩肤最好？,深圳哪家美容医院的光子嫩肤效果好,0
211,柳市镇哪里有手工活拿回家做的,义乌哪里有饰品手工活拿回家做,0
212,捡肥皂是什么意思？,捡肥皂是什么意思,1
213,马铃薯是土豆吗？,马铃薯就是土豆吗？,1
214,这是什么品种的狗狗？,这是什么品种狗狗,1
215,诚征中老年服装批发商,购买中老年服装,0
216,您好，请问您是什么还款呢？,请问是忘记了安全保护问题答案是吗？,0
217,谁知道谢娜和刘烨分手的真正原因呢?,刘烨和谢娜什么时候分手的,0
218,福州哪里有旧照片翻新的店！,福州那里有旧照片翻新？,1
219,我该怎么学会与人沟通?,内向的人怎么学会与别人沟通和交流,0
220,栖的近义词怎么组词,鹰的近义词组词,0
221,如何解除继父子关系,如何解除父子关系？,1
222,"猴子喜欢吃香蕉,狒狒喜欢不?",猴子为什么喜欢吃香蕉，为什么它不喜欢吃榴莲,0
223,打雷对电脑有影响吗,打雷对电脑有影响么，,1
224,这是什么。牌子的导航,这是什么牌子的导航？,1
225,苹果手机怎么识别真假,怎么识别苹果手机真假,1
226,睾丸炎药吃什么药,睾丸炎看什么科？,0
227,天天酷跑那个角色最好用,天天酷跑角色哪个最好,1
228,一般大家去哪个网站买书。,大家买书一般上哪个网站买？,1
229,有好的可以瘦脸的方法吗？,淘宝上有什么好的茶叶可以买？,0
230,能介绍一本好书吗？,怎样找一本好书,0
231,您好，如没有的话是不支持的,是的，如果您的产品没有到期的话是需要收取手续费的,0
232,梦见很多的桑椹是什么意思啊？,梦见很多大便还有很多鱼，请问是什么意思啊？,0
233,吃什么才能美白呢,喝什么茶可以美白？,0
234,姓蓝的是什么少数民族,有什么少数民族贴吧吗,0
235,安卓手机有什么好玩的单机游戏,有什么好玩的手机安卓单机游戏,1
236,帮忙起个店名吧！,帮忙起个店名吧～,1
237,网易寻找懂球帝，这位主教练是谁？,寻找懂球帝，猜猜这名球员是谁,0
238,姜潮有女朋友么》？,姜潮有女朋友么,1
239,你们喜欢看什么电视剧呢？,你们最喜欢看什么电视剧,1
240,好听的四个字名字,四个字好听的名字,1
241,求百日蔷薇漫画,求百日蔷薇漫画【全】,0
242,什么毒无色无味,什么毒无色无味…,1
243,我的世界怎么刷石头,我的世界火石头怎么得,1
244,需要您同意然后转接过去，您看可以吗,亲按照常理说你既然找回成功了可能是你输入的时候没有注意大小写的问题,0
245,微博怎么赞话题,微博怎么刷话题,0
246,电脑怎么玩天天酷跑,天天酷跑怎么玩不了,0
247,超人和奥特曼谁厉害？,奥特曼和超人谁厉害,1
248,有什么好看的打篮球电影？,有什么好看的篮球电影和好听的歌吗,1
249,狗狗品种,狗狗的品种,1
250,全国物理奥林匹克竞赛怎么参加,怎样自学高中物理，参加竞赛,0
251,最近有什么好听的歌？,最近有什么好听的歌吗,1
252,肾虚的女人吃什么,女人肾虚吃什么好,1
253,羡慕的反义词是什么,求羡慕的反义词是什么,1
254,哪个牌子的去黑头好?,哪个牌子去黑头的效果比较好,1
255,怎么报复背叛我的男友?,怎么报复背叛自己的男友,1
256,男属牛女属猴合适吗？,男属虎女属猴合吗？,0
257,现在什么好赚钱吧？,现在敢什么事赚钱。,1
258,杭州到成都有动车吗？,杭州有到成都的动车吗？,1
259,百度账号能改名字吗,的昵称能改吗,0
260,陈世美是什么生肖？,陈世美是指什么生肖,1
261,毛孔大怎么收缩,怎么去收缩毛孔,1
262,请问不是您的账户吗？,您好，请问您使用的邮箱类型是？,0
263,推荐个手机游戏,手机游戏推荐,1
264,剑灵为什么老是掉线,为什么我剑灵老是掉线,1
265,微信为什么添加联系人失败？,为什么微信没有漂流瓶？,0
266,您好，支付宝小二很高兴为您服务!,请说，小宝很高兴为您服务~<p></p>,1
267,您好，目前支付宝只是您的这个第三方的付款的平台是不销售任何的产品的,很抱歉的亲，支付宝仅为付款平台，您拍下的话费是由淘宝卖家或运营商发货,0
268,麻烦您优先操作一下的，辛苦您了。,麻烦您提供一下您的店铺的链接，帮您测试一下的，辛苦您了。,0
269,日文怎么打？,问个日文怎么打,1
270,福建林业职业技术学院的情况,福建林业职业技术学院美女？,0
271,两个胖子结婚(打一城市),两个胖子拥抱(打一地名),0
272,大家都用哪家转运公司,加盟哪个网店公司好呢,0
273,手机电池充电太慢什么原因,手机充电慢，什么原因，怎么办,1
274,爸爸去哪儿第三季的人有谁,爸爸去哪儿第三季,1
275,从逸仙路安汾路怎么到大宁灵石公园,从五角场到大宁灵石公园怎么走？,0
276,什么时候可以开始刮胡子？,当什么时候可以刮胡子,1
277,杭州到云南旅游团哪个好,云南好？还是杭州好、,0
278,慢性湿疹用什么药？,慢性湿疹吃什么药？,1
279,网上兼职有什么,元旦有在西安找兼职的吗,0
280,今年端午节如何放假,今年端午节怎么放假,1
281,人情债怎么还,人情债怎么还？,1
282,我不会唱歌是谁唱的,我不会唱歌怎么办,0
283,贴吧里怎么设置头像,群头像怎么设置,0
284,联合国最大的是谁？是联合国秘书长？,联合国秘书长潘基文是哪国人？具体的资料？,0
285,请问这个头像叫什么？,请问，这个头像什么狗？,0
286,郭德纲的新段子那些好,郭德纲的段子,0
287,您好.您的情况必须让这个邮箱可以接受邮件才可以,您好.您的情况建议您使用更加稳定的阿里云邮箱即可以了.,0
288,什么电视剧有黑社会片？,关于黑社会的电视剧叫什么？,1
289,我的世界手机版存档怎么用,我的世界手机版谁能和我远程联机,0
290,去美容院护肤好吗,到美容院做护肤其实好不好？,1
291,桃子老师和四个学生发,桃子老师与四个学生,1
292,怎样宣传自己的网店？,开网店怎样做宣传,1
293,这是什么字？腈怎么组词,这是什么字？怎样组词？,1
294,为什么我注册不了支付宝,为什么登陆不了淘宝,0
295,江苏技术师范学院是要改名为华东科技大学吗？,江苏技术师范学院的住宿情况怎么样啊?,0
296,奥比岛怎样帮精灵升级,奥比岛怎样能让小精灵升级形态,1
297,双项淘宝客怎么做,如何才能在家兼职淘宝客服,0
298,周杰伦和蔡依林分手是谁提出的？雅虎知识堂,蔡依林和周杰伦到底什么关系？,0
299,木瓜怎么煮才好吃,木瓜怎么做好吃,1
300,答案已知求过程,已知答案，求过程,1
301,金毛和拉布拉多的区别,拉布拉多和金毛区别,1
302,什么人只隔一夜就变老？,什么人只隔一夜就变老,1
303,怎样运动减肥最快最有效,怎样减肥最快最有效运动,1
304,搜一部关于恐龙的电影,关于恐龙的一部电影,1
305,"中国海洋大学图书馆的听力书,听力在哪",中国海洋大学浮山校区的图书馆藏书多吗？,0
306,电灯是谁发明的啊,谁发明了电灯,1
307,现在淘宝做什么好？,淘宝现在做什么好,1
308,收集点室内设计国外的设计师网站,家纺设计国外资料网站,0
309,男士手表什么品牌的好,男士手表什么品牌好,1
310,这个发型，叫什么？怎么弄？,这个发型怎么弄，叫什么？,1
311,安徽警官职业学院能否专升本,安徽警官职业学院怎么样？,0
312,灰指甲挂什么科,咳嗽老不好，挂什么科,0
313,借花献佛是什么意思,借佛献花是什么意思,0
314,金立手机怎么截图？,如何学习好摩斯密码,0
315,您设置了默认的付款方式了吗,您可以再服务窗搜花呗也可以的,0
316,测试你的前世是什么?,测试一下你的前世是个什么人,1
317,这张图是哪个动漫的？,求这张图的动漫！,1
318,有儿子跟自己亲妈发生关系的吗？,你也和你儿子发生关系？,0
319,这个游戏的名字是什么？,这个游戏名字叫什么,1
320,人口密度怎么算？,人口密度是怎么算的,1
321,世界上最大的岛屿是什么岛屿？,世界上最大的岛屿是哪个？,1
322,淘宝上卖家发货了没收直接退回能申请退款吗,淘宝卖家24小时未发货，申请退款能成功吗？,0
323,有谁在扬州租房？,广州花城广场有什么，怎么去。,0
324,就叶子看，这是什么植物,这是什么植物的叶子,1
325,联通卡可以用移动手机吗,联通3g手机能用移动卡吗,0
326,王俊凯喜欢女生什么,王俊凯喜欢什么女生,1
327,大家是否考虑去德国留学？,如何去德国留学?,0
328,亚马逊好还是京东好,京东好还是亚马逊好？,1
329,搜片神器怎么不可以用,搜片神器下载了怎么不能用,1
330,伴郎穿什么,当伴郎穿什么？,1
331,野蘑菇有毒吗？,这蘑菇有毒吗？,0
332,怎么让我看清一个人,怎么看清一个人？,1
333,小米手机怎么破解付费主题,小米主题怎么破解破解,1
334,这个是什么字体的英文,这个英文字体叫什么,1
335,24小时退款的,您截图4月6号到4月8号的收支明细给我，,0
336,孕妇喝什么样酸奶好,新生儿喝奶粉该喝多少？,0
337,能给我火影同人漫画吗,还有火影同人漫画吗,1
338,单机游戏下载哪个网站好,下载单机游戏哪个网站好,1
339,水浒传作者,火影作者死没,0
340,喜事连连指什么生肖,喜事连连是什么生肖？,1
341,石膏线是怎么安装的？,如何安装石膏线,1
342,浙江有什么好玩的地方,浙江有什么好玩的地方？,1
343,这是什么昆虫,这是什么小昆虫？,1
344,联通卡怎么取消来电显示,联通卡怎样开通来电显示,0
345,关于《我的世界》小地图,我的世界有这样的地图吗？,0
346,怎么用手机遥控电视？,怎么用手机复制电视遥控器,1
347,求《鬼畜眼镜》的漫画全集,求《鬼畜眼镜》漫画全集,1
348,我的微信密码忘了怎么找的回来啊,微信密码忘了怎么找回来,1
349,水粉颜料什么牌子好,水粉颜料什么牌子的好？,1
350,在深圳哪里去找工作,在杭州找工作去那里找,0
351,隐形眼镜正反面怎么区分阿？,隐形眼镜怎么区分正反面,1
352,高铁和动车那个快？,高铁与动车的区别？,0
353,我国四大发明有什么,我国的四大发明是什麽,1
354,您是说的余额宝吗？,亲，您是说余额宝的吗？,1
355,人流后能吃干桂圆吗,怀孕吃干桂圆好吗,0
356,十二生肖有什么,十二生肖都是什么,1
357,残阳是什么意思,残阳什么意思,1
358,天下足球址是什么呢？,天下足球是哪儿啊？做什么的,0
359,子宫附件彩超,子宫双附件,0
360,用手机怎么打特殊符号,手机怎么才能打出特殊符号,1
361,北京哪个眼科医院最好,中国哪个地方钱最好赚,0
362,脖子上有痣代表什么,左脖子上有痣代表什么女的,1
363,这样的青蛙有毒吗,青蛙有毒吗？,1
364,八年级下册数学,八年级下册数学。,1
365,英语该怎么读好,如何读好英语,1
366,月经来的时候能喝茶吗？,吃中药了什么时候才可以怀孕,0
367,姐妹头像、网名、个性签名,超拽超霸气不带字女生头像,0
368,异地的银行卡怎么注销！,如何异地注销银行卡,1
369,南宁有啥好玩的地方？,南宁有什么好玩的地方？,1
370,是什么电影里的台词？,邓紫棋有一首歌，啊啊}是什么？,0
371,不带字女生头像,女生头像不带字,1
372,重庆哪里可以滑雪,重庆哪里能滑雪,1
373,支付宝和网银一样吗,网银和支付宝一样吗,1
374,上海大的装修公司,上海大计数据公司怎么样啊,0
375,请大家帮忙这个电影是？,大家帮忙看下这是什么狗,0
376,长寿花什么样的,长寿花什么样啊,0
377,谁能告诉我这狗什么品种的。,谁能告诉我这条狗是什么品种啊,1
378,安徽卫视当红不让的两个主持人叫什么?,谁知道安徽卫视那个女主持人的名字？,0
379,麻烦您提供一下接受短信的手机号，辛苦您了,麻烦您提供一下您接受短信的手机号，辛苦您了,1
380,稍等的，正在为您转接,辛苦您在线等待下的现在帮您转接的好吗？,1
381,请问这是什么树的叶子啊？,请问这是什么木头手串，怎样？,0
382,今天是什么日子，都在放鞭炮,今天是什么节日，这么多放鞭炮的,1
383,这是什么手机游戏,这是什么手机游戏啊,1
384,请您核实下您是否有其他的支付宝账户的，辛苦您了,您好，请您核实一下其他的账户是否有的。辛苦您了,1
385,短发弄什么发型好,男的，短发能做什么发型呢？,0
386,邮政快递怎么查询,怎么查询邮政快递,1
387,这个头像大图,求这个头像大图！,1
388,李小龙为什么那么厉害,李小龙那么瘦怎么那么厉害,0
389,截然不同什么意思,截然不同的意思是什么,1
390,求范冰冰的苹果完整版,求范冰冰苹果完整版？谁有,1
391,怎么在网上找客户？,怎么在网上找资料？,0
392,传统日本女人穿和服时穿什么样的内衣？,为什么日本女人穿的衣服后面都带一个枕头呢,0
393,这是什么意思翻译一下,这是什么意思，翻译一下,1
394,妈蛋是什么意思？,妈蛋什么意思,1
395,我的世界钻石在哪里得。,坦克世界金币卡哪里买的,0
396,求一款网页游戏！,找一款网页游戏,1
397,哪里有卖货架我,哪里有卖货架的？,1
398,现在最流行的玩具是什么？,现在流行什么玩具？,1
399,这个兰花是什么品种？,这只兔兔是什么品种？,0
400,燃气热水器多大合适,燃气热水器排名,0
401,什么品牌布艺沙发好,什么品牌的裤子好穿,0
402,为什么把乌龟叫王八？,请问：为什么王八是乌龟,1
403,肾虚会掉头发吗？,肾虚会掉头发吗，,1
404,刘德华的女儿叫什么名字啊,她叫什么名字，好喜欢她,0
405,我的世界中文版下载,哪里可以下载我的世界中文版,0
406,窥的形近字急急急,放烟花日记400字急急急！,0
407,周杰伦什么时候结婚,周杰伦什么时候会结婚,1
408,鼓舞意思是什么,鼓舞是什么意思,1
409,世界上最难听的是什么歌？,世界上什么歌最难听？,1
410,麻烦您提供您的姓名），辛苦您了，,请问您是在参加什么活动呢？麻烦您提供一下活动名称，辛苦您了,0
411,榆林在哪个省？,榆林是哪个省的,1
412,爱情保证书怎么写,爱情保证书怎么写？,1
413,周杰伦会和蔡依林结婚嘛？,蔡依林和周杰伦能结婚吗？,1
414,天天炫斗刷钻石是真的吗？,天天炫斗刷钻石那些是真得吗？,1
415,网页回合制游戏,回合制网页游戏,1
416,这是什么电视剧？！,猜你妹，这是什么电影？,0
417,世界有神仙吗,世界有神仙吗？,1
418,130***这个手机号是您的吗,137***这个手机号呢？,0
419,可爱吗、宝宝,我宝宝可爱吗,1
420,以虫治虫，治什么意思,以虫治虫的治是什么意思,1
421,百度钱包怎么样？,百度钱包怎么样,1
422,京东商城怎么付款,京东商城是怎样付款的？,1
423,就是您绑定的银行卡,建议您解绑您的这张银行卡，再进行重新绑定。,0
424,是我的淘宝里面可以查看到的哦,账单导入成功，可以在该信用卡还款页面点击该卡一栏查看邮箱账单明细；,0
425,怎么在微信上制作连接,苹果手机怎么在微信上制作链接,1
426,谁有这张图的高清大图？,这张图的高清大图,1
427,哪里有正宗福建辣椒王,哪里卖正宗的福建辣椒王,1
428,蓝牙耳机充电器多少钱？,苹果五原装耳机多少钱,0
429,执意的意思是什么？,执意是什么意思？,1
430,关于易语言进度条,易语言进度条。,1
431,非常抱歉给您添麻烦了，您的这个是无法核实的，这里是不显示的,很抱歉.您的这个情况小二只能给您这个建议.给您添麻烦了.,0
432,我是好人。,我想我是好人,1
